Img,title,author,types,status,click_num,intro
https://bookcover.yuewen.com/qdbimg/349573/c_3675832204934203/90,天医凤九,凤炅,古代言情,已完结,530.55万,                        推荐我的新文《仙风药令》几句话简介：陌上人如玉，公子世无双~公子他体弱又腹黑~女主她肆意又张扬~完结文：《药门仙医》天医凤九出版实体书名为《至尊女医》天猫有售签名版她，现代隐门门主，集各家所长的变态鬼才，精医毒，擅暗杀，世人眼中的变态妖物，一次意外身亡，却重生在一个被毁容的少女身上。 一朝风云骤起，群雄争霸！且看她如何一袭红衣走天下，剑挑群雄震苍穹！名扬四海惊天地！                    
https://bookcover.yuewen.com/qdbimg/349573/c_8263527304935303/90,恰似寒光遇骄阳,囧囧有妖,现代言情,已完结,261.2万,                        一觉醒来，她看着镜子里的自己， 爆炸头血腥纹身脸化得像鬼，多看一秒都辣眼睛。重生前，她另有所爱，一心逃离，对他恨之入骨。上一世脑子被门夹了放着绝色老公不要，被渣男贱女所害，被最信任的闺密洗脑，落了个众叛亲离的下场。这一世，任各路牛鬼蛇神处心积虑巴不得她离婚让位，不好意思，本小姐智商上线了！                    
https://bookcover.yuewen.com/qdbimg/349573/c_4818982104534803/90,许你万丈光芒好,囧囧有妖,现代言情,已完结,229.07万,                        “你救了我，我让我爹地以身相许！”宁夕意外救了只小包子，结果被附赠了一只大包子。婚后，陆霆骁宠妻如命千依百顺，虐起狗来连亲儿子都不放过。“老板，公司真给夫人拿去玩？难道夫人要卖公司您也不管？”“卖你家公司了？”“大少爷，不好了！夫人说要把屋顶掀了！”“还不去帮夫人扶梯子。”“粑粑，谢谢你给小宝买的大熊！”“那是买给你妈妈的。”“老公，这个剧本我特别喜欢，我可以接吗？”陆霆骁神色淡定：“可以。”当天晚上，宁夕连滚带爬跑出去。陆霆骁！可以你大爷！！！曾用名《隐婚100分：惹火娇妻嫁一送一》，出版名《君子报恩》。                    
https://bookcover.yuewen.com/qdbimg/349573/c_9743170703944503/90,别闹，薄先生！,楠楠李,现代言情,已完结,415.75万,                        沈小姐忙着吃饭， 睡觉， 教渣渣如何做人！薄先生忙着追沈小姐，追沈小姐， 还是追沈小姐！“不都说薄执行长清心寡欲谦谦君子吗？”薄先生眯着眼睛靠在沙发上， 动作清闲又优雅，“乖，叫老公。 ”薄太太 扶额，看着那张脸——那种明明冷冰冰却又唯她不能缺的样子，简直就是逼人犯罪！                    
https://bookcover.yuewen.com/qdbimg/349573/c_4998878704813603/90,云家小九超皮哒,水清竹,玄幻言情,连载中,1130.69万,                        她是王牌特工，却穿越成邺城第一废柴奇葩女！本小姐是丑女？化茧成蝶，亮瞎你的钛金势利眼！本小姐是废柴？天雷在手！劈的你外焦里嫩香喷喷！一张利嘴走天下，誓要桃花遍地开！某尊左手拿刀，右手拿剑，砍落桃花一朵朵！某女挑眉一笑：“你砍我桃花，我虐你白莲，两只妖孽凑一双，绝配！”                    
https://bookcover.yuewen.com/qdbimg/349573/c_7816055704516703/90,神医凰后（《且听凤鸣》原著）,苏小暖,古代言情,已完结,442.75万,                        她，21世纪被家族遗弃的天才少女；他，傲娇腹黑帝国太子，一怒天下变的至高王者；她扮猪吃虎坑他、虐他、刺激他、每次坑完就跑。是个男人就忍不了！他只能猎捕她，宠溺她，诱惑她为他倾心，谁知先动心的人却变成了他。——君临天下的少年，凤舞江山的少女，一场棋逢对手，势均力敌的爱情追逐游戏。                    
https://bookcover.yuewen.com/qdbimg/349573/c_7478351103195303/90,至尊瞳术师,陌烟,古代言情,已完结,746.93万,                        24世纪的至尊瞳术师一朝穿越，成了下等小国镇国侯府被废的天才大小姐！修为被废，双眼俱瞎，家族地位被夺？洛清瞳微眯着一双血瞳冷笑：过来！姐教你们做人！一双血瞳，傲世无双！鉴宝透视，医毒破防，无所不能！魂武双修，器药双绝，御兽布阵……她用一生诠释了何谓至尊无双，绝世嚣张！只是万万没想到惹上了一个比她更绝世妖孽的人！（苏爽无虐，坑品保障，另有数百万字肥文《纨绔乐妃》）                    
https://bookcover.yuewen.com/qdbimg/349573/c_17536776207350304/90,夫人她马甲又轰动全城了,灵小哥,现代言情,连载中,201.2万,                        乔念在乔家生活了18年，亲生父母找上门来，一时之间，绕城豪门都知道乔家出了个假千金！真千金多才多艺，温柔善良。假千金不学无术，一事无成。所有人都想看她被赶出豪门后，回到山沟沟过得有多惨！乔念也以为自己亲生父母来自漯河县，是个一穷二白的穷老师。谁知道哥哥开的车是辉腾，裸车300万！亲爸教书的地方在清大，老师还有个别称是教授！渣渣们一家跪舔的顶级大佬对着她爷爷点头哈腰…乔念：？enmm…这和说好的不一样！脱离一群渣渣，乔念她做回了自己。高考状元，直播大佬，非遗文化继承人…马甲一个个掉，绕城热搜一个个上，渣男渣女渣父母脸都绿了。黑粉都在嘲：卖人设有什么用，还不是天天倒贴我哥哥。乔念：不好意思，我有对象了。顶流哥哥：@乔念，给大家介绍一下，这个是我妹妹。豪门爷爷：囡囡，那么努力干什么，要啥自行车，爷爷给你买！……京市权贵都在传妄爷有个藏在金屋里的老婆，不管别人怎么起哄，从来不肯带出来见人。别问，问就是那句：“我老婆是农村人，怕生。”直到某一天，有人看到一向矜贵高冷的妄爷掐着个女生的细腰，把人堵在墙角，眼角赤红的呢喃：“宝宝，什么时候给我个名分？”    【假千金她是真豪门】 +【双大佬】                    
https://bookcover.yuewen.com/qdbimg/349573/c_9199596003547803/90,魅医倾城,相思梓,玄幻言情,已完结,524.11万,                        【正文已完结】君慕颜前世活的辛苦，死的凄凉。重活一世，她身边多了个冷面萌宝。“小宝，那个想要契约圣兽的女人是娘的仇人诶。”于是，顶阶圣兽成了小宝的灵宠。“小宝，这个神乐师的传承好强大啊！”小手轻轻一推，传承结界打开，君慕颜成为神乐师唯一传人。“小宝，这男人老是缠着娘亲不放诶！”小宝一掌挥出，把人赶走……咦，赶不走？！你是我爹？爹是什么？能吃吗？                    
https://bookcover.yuewen.com/qdbimg/349573/c_8531646504192703/90,吾欲成凰,夜北,古代言情,已完结,282.96万,                        原名《重生最强女帝》前世，她灵根被挖，一心正道，却被判为邪魔妖道！重回少年之时，她力挽狂澜，逆天改命，前世欺她辱她之人，都将百倍奉还！自修血脉，重铸极品灵根！斩尽无赖族人，荣归第一望门！世间规矩不能束她分毫，这一世，她要杀出自己的正道！他是众人敬仰的神帝，高冷孤傲，却天天跟在她身后。                    
